ZipCode,City,County,State,CountyFIPS,StateFIPS,TimeZone,DayLightSavings,ZipLatitude,ZipLongitude
10301,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.624729,-74.094544
10302,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.629255,-74.137896
10303,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.632564,-74.168239
10304,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.607209,-74.095301
10305,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.597310,-74.077055
10306,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.559870,-74.115010
10307,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.508858,-74.241740
10308,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.552910,-74.149560
10309,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.531150,-74.217755
10310,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.633155,-74.116182
10311,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.615100,-74.172700
10312,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.541702,-74.178930
10313,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.617200,-74.122100
10314,STATEN ISLAND,RICHMOND,NY,085,36,-5,Y,40.596148,-74.161613
10451,BRONX,BRONX,NY,005,36,-5,Y,40.818953,-73.920406
10452,BRONX,BRONX,NY,005,36,-5,Y,40.837314,-73.922428
10453,BRONX,BRONX,NY,005,36,-5,Y,40.853612,-73.913576
10454,BRONX,BRONX,NY,005,36,-5,Y,40.805460,-73.916947
10455,BRONX,BRONX,NY,005,36,-5,Y,40.813229,-73.905183
10456,BRONX,BRONX,NY,005,36,-5,Y,40.829330,-73.908134
10457,BRONX,BRONX,NY,005,36,-5,Y,40.846411,-73.898446
10458,BRONX,BRONX,NY,005,36,-5,Y,40.864942,-73.884878
10459,BRONX,BRONX,NY,005,36,-5,Y,40.825698,-73.892370
10460,BRONX,BRONX,NY,005,36,-5,Y,40.843824,-73.879342
10461,BRONX,BRONX,NY,005,36,-5,Y,40.845485,-73.843579
10462,BRONX,BRONX,NY,005,36,-5,Y,40.842679,-73.855548
10463,BRONX,BRONX,NY,005,36,-5,Y,40.879335,-73.910328
10464,BRONX,BRONX,NY,005,36,-5,Y,40.862717,-73.793643
10465,BRONX,BRONX,NY,005,36,-5,Y,40.832653,-73.816267
10466,BRONX,BRONX,NY,005,36,-5,Y,40.891958,-73.844969
10467,BRONX,BRONX,NY,005,36,-5,Y,40.876653,-73.871508
10468,BRONX,BRONX,NY,005,36,-5,Y,40.869982,-73.900709
10469,BRONX,BRONX,NY,005,36,-5,Y,40.869950,-73.844118
10470,BRONX,BRONX,NY,005,36,-5,Y,40.902462,-73.862432
10471,BRONX,BRONX,NY,005,36,-5,Y,40.900150,-73.903608
10472,BRONX,BRONX,NY,005,36,-5,Y,40.829982,-73.865990
10473,BRONX,BRONX,NY,005,36,-5,Y,40.816461,-73.862173
10474,BRONX,BRONX,NY,005,36,-5,Y,40.804142,-73.884248
10475,BRONX,BRONX,NY,005,36,-5,Y,40.873853,-73.826951
10501,AMAWALK,WESTCHESTER,NY,119,36,-5,Y,41.295208,-73.757628
10502,ARDSLEY,WESTCHESTER,NY,119,36,-5,Y,41.009924,-73.840488
10503,ARDSLEY ON HUDSON,WESTCHESTER,NY,119,36,-5,Y,41.025547,-73.875129
10504,ARMONK,WESTCHESTER,NY,119,36,-5,Y,41.124742,-73.708646
10505,BALDWIN PLACE,WESTCHESTER,NY,119,36,-5,Y,41.342018,-73.744341
10506,BEDFORD,WESTCHESTER,NY,119,36,-5,Y,41.187593,-73.634824
10507,BEDFORD HILLS,WESTCHESTER,NY,119,36,-5,Y,41.227360,-73.691824
10509,BREWSTER,PUTNAM,NY,079,36,-5,Y,41.418603,-73.597038
10510,BRIARCLIFF MANOR,WESTCHESTER,NY,119,36,-5,Y,41.142792,-73.841185
10511,BUCHANAN,WESTCHESTER,NY,119,36,-5,Y,41.263146,-73.948804
10512,CARMEL,PUTNAM,NY,079,36,-5,Y,41.431280,-73.725599
10514,CHAPPAQUA,WESTCHESTER,NY,119,36,-5,Y,41.173776,-73.771424
10516,COLD SPRING,PUTNAM,NY,079,36,-5,Y,41.447135,-73.909172
10517,CROMPOND,WESTCHESTER,NY,119,36,-5,Y,41.297600,-73.867200
10518,CROSS RIVER,WESTCHESTER,NY,119,36,-5,Y,41.279032,-73.598109
10519,CROTON FALLS,WESTCHESTER,NY,119,36,-5,Y,41.340487,-73.663686
10520,CROTON ON HUDSON,WESTCHESTER,NY,119,36,-5,Y,41.209188,-73.878782
10521,CROTON ON HUDSON,WESTCHESTER,NY,119,36,-5,Y,41.235800,-73.929800
10522,DOBBS FERRY,WESTCHESTER,NY,119,36,-5,Y,41.011615,-73.869290
10523,ELMSFORD,WESTCHESTER,NY,119,36,-5,Y,41.060220,-73.819639
10524,GARRISON,PUTNAM,NY,079,36,-5,Y,41.378031,-73.925194
10526,GOLDENS BRIDGE,WESTCHESTER,NY,119,36,-5,Y,41.292156,-73.647289
10527,GRANITE SPRINGS,WESTCHESTER,NY,119,36,-5,Y,41.319883,-73.760620
10528,HARRISON,WESTCHESTER,NY,119,36,-5,Y,40.979412,-73.720708
10530,HARTSDALE,WESTCHESTER,NY,119,36,-5,Y,41.018308,-73.812398
10532,HAWTHORNE,WESTCHESTER,NY,119,36,-5,Y,41.095159,-73.806894
10533,IRVINGTON,WESTCHESTER,NY,119,36,-5,Y,41.040583,-73.859445
10535,JEFFERSON VALLEY,WESTCHESTER,NY,119,36,-5,Y,41.335657,-73.799687
10536,KATONAH,WESTCHESTER,NY,119,36,-5,Y,41.267512,-73.689480
10537,LAKE PEEKSKILL,PUTNAM,NY,079,36,-5,Y,41.336722,-73.883972
10538,LARCHMONT,WESTCHESTER,NY,119,36,-5,Y,40.934117,-73.754688
10540,LINCOLNDALE,WESTCHESTER,NY,119,36,-5,Y,41.329300,-73.727500
10541,MAHOPAC,PUTNAM,NY,079,36,-5,Y,41.374535,-73.752144
10542,MAHOPAC FALLS,PUTNAM,NY,079,36,-5,Y,41.371600,-73.762200
10543,MAMARONECK,WESTCHESTER,NY,119,36,-5,Y,40.951282,-73.736789
10545,MARYKNOLL,WESTCHESTER,NY,119,36,-5,Y,41.160500,-73.867200
10546,MILLWOOD,WESTCHESTER,NY,119,36,-5,Y,41.195843,-73.796250
10547,MOHEGAN LAKE,WESTCHESTER,NY,119,36,-5,Y,41.312691,-73.850494
10548,MONTROSE,WESTCHESTER,NY,119,36,-5,Y,41.242810,-73.944832
10549,MOUNT KISCO,WESTCHESTER,NY,119,36,-5,Y,41.199927,-73.718035
10550,MOUNT VERNON,WESTCHESTER,NY,119,36,-5,Y,40.906038,-73.834446
10551,MOUNT VERNON,WESTCHESTER,NY,119,36,-5,Y,40.912700,-73.837800
10552,MOUNT VERNON,WESTCHESTER,NY,119,36,-5,Y,40.923720,-73.825188
10553,MOUNT VERNON,WESTCHESTER,NY,119,36,-5,Y,40.909368,-73.820974
10560,NORTH SALEM,WESTCHESTER,NY,119,36,-5,Y,41.334140,-73.611560
10562,OSSINING,WESTCHESTER,NY,119,36,-5,Y,41.188562,-73.837451
10566,PEEKSKILL,WESTCHESTER,NY,119,36,-5,Y,41.284739,-73.923184
10567,CORTLANDT MANOR,WESTCHESTER,NY,119,36,-5,Y,41.284890,-73.909138
10570,PLEASANTVILLE,WESTCHESTER,NY,119,36,-5,Y,41.125506,-73.792422
10573,PORT CHESTER,WESTCHESTER,NY,119,36,-5,Y,41.023197,-73.678118
10576,POUND RIDGE,WESTCHESTER,NY,119,36,-5,Y,41.208544,-73.567918
10577,PURCHASE,WESTCHESTER,NY,119,36,-5,Y,41.037443,-73.717030
10578,PURDYS,WESTCHESTER,NY,119,36,-5,Y,41.315982,-73.675584
10579,PUTNAM VALLEY,PUTNAM,NY,079,36,-5,Y,41.400498,-73.821525
10580,RYE,WESTCHESTER,NY,119,36,-5,Y,40.976722,-73.691103
10583,SCARSDALE,WESTCHESTER,NY,119,36,-5,Y,40.989434,-73.794574
10587,SHENOROCK,WESTCHESTER,NY,119,36,-5,Y,41.320100,-73.737100
10588,SHRUB OAK,WESTCHESTER,NY,119,36,-5,Y,41.328788,-73.823012
10589,SOMERS,WESTCHESTER,NY,119,36,-5,Y,41.311974,-73.688548
10590,SOUTH SALEM,WESTCHESTER,NY,119,36,-5,Y,41.251947,-73.539665
10591,TARRYTOWN,WESTCHESTER,NY,119,36,-5,Y,41.082914,-73.849989
10594,THORNWOOD,WESTCHESTER,NY,119,36,-5,Y,41.114758,-73.770874
10595,VALHALLA,WESTCHESTER,NY,119,36,-5,Y,41.088940,-73.784358
10596,VERPLANCK,WESTCHESTER,NY,119,36,-5,Y,41.252800,-73.960600
10597,WACCABUC,WESTCHESTER,NY,119,36,-5,Y,41.293466,-73.595343
10598,YORKTOWN HEIGHTS,WESTCHESTER,NY,119,36,-5,Y,41.285694,-73.791524
10601,WHITE PLAINS,WESTCHESTER,NY,119,36,-5,Y,41.031532,-73.764403
10602,WHITE PLAINS,WESTCHESTER,NY,119,36,-5,Y,41.033700,-73.763500
10603,WHITE PLAINS,WESTCHESTER,NY,119,36,-5,Y,41.057780,-73.777229
10604,WEST HARRISON,WESTCHESTER,NY,119,36,-5,Y,41.051724,-73.730429
10605,WHITE PLAINS,WESTCHESTER,NY,119,36,-5,Y,41.007673,-73.743984
10606,WHITE PLAINS,WESTCHESTER,NY,119,36,-5,Y,41.018382,-73.776812
10607,WHITE PLAINS,WESTCHESTER,NY,119,36,-5,Y,41.037256,-73.809320
10610,WHITE PLAINS,WESTCHESTER,NY,119,36,-5,Y,41.034200,-73.763200
10701,YONKERS,WESTCHESTER,NY,119,36,-5,Y,40.952603,-73.882910
10702,YONKERS,WESTCHESTER,NY,119,36,-5,Y,40.931100,-73.899500
10703,YONKERS,WESTCHESTER,NY,119,36,-5,Y,40.959226,-73.881584
10704,YONKERS,WESTCHESTER,NY,119,36,-5,Y,40.922999,-73.863398
10705,YONKERS,WESTCHESTER,NY,119,36,-5,Y,40.917669,-73.894724
10706,HASTINGS ON HUDSON,WESTCHESTER,NY,119,36,-5,Y,40.990017,-73.869644
10707,TUCKAHOE,WESTCHESTER,NY,119,36,-5,Y,40.962424,-73.823510
10708,BRONXVILLE,WESTCHESTER,NY,119,36,-5,Y,40.938404,-73.828671
10709,EASTCHESTER,WESTCHESTER,NY,119,36,-5,Y,40.955632,-73.808228
10710,YONKERS,WESTCHESTER,NY,119,36,-5,Y,40.966828,-73.846755
10801,NEW ROCHELLE,WESTCHESTER,NY,119,36,-5,Y,40.915740,-73.782885
10802,NEW ROCHELLE,WESTCHESTER,NY,119,36,-5,Y,40.911600,-73.782600
10803,PELHAM,WESTCHESTER,NY,119,36,-5,Y,40.904540,-73.805904
10804,NEW ROCHELLE,WESTCHESTER,NY,119,36,-5,Y,40.950516,-73.787680
10805,NEW ROCHELLE,WESTCHESTER,NY,119,36,-5,Y,40.896265,-73.781088
10901,SUFFERN,ROCKLAND,NY,087,36,-5,Y,41.138464,-74.106053
10910,ARDEN,ORANGE,NY,071,36,-5,Y,41.274600,-74.153600
10911,BEAR MOUNTAIN,ROCKLAND,NY,087,36,-5,Y,41.306390,-74.000902
10912,BELLVALE,ORANGE,NY,071,36,-5,Y,41.250600,-74.311300
10913,BLAUVELT,ROCKLAND,NY,087,36,-5,Y,41.069061,-73.959870
10914,BLOOMING GROVE,ORANGE,NY,071,36,-5,Y,41.412100,-74.191400
10915,BULLVILLE,ORANGE,NY,071,36,-5,Y,41.544300,-74.361800
10916,CAMPBELL HALL,ORANGE,NY,071,36,-5,Y,41.447510,-74.258234
